,preprocess,label,NEG,POS,NEU,num_word,num_char,num_hashtag,num_url,num_like_post,num_comment_post,num_share_post,hour,weekday,day,month,year
0,cần các bậc phụ_huynh xã ngũ thái lên_tiếng không ngờ xã mình cũng nhận thịt nhiễm sán cho các cháu mầm_non ăn_uống thế_này thật vô_nhân tính vtv đăng tin rồi nhé các anh_chị,1,0.9853274822235109,0.0048639839515089,0.0098084928467869,34,182,0,0,45.0,15.0,8.0,6,1,17,3,2020
1,kêu_gọi ăn_chay cầu_nguyện xin chúa cứu khỏi dịch virus covid,1,0.6591227650642395,0.2136448919773101,0.1272323280572891,10,62,0,0,979.0,39.0,138.0,19,0,10,2,2020
2,giàn khoan dầu_khí gặp sự_cố chết người giàn khoan dầu_khí ngoài_trời vũng_tàu gặp sự_cố làm chết nhiều người được biết nguyên_nhân gây ra sự_cố này là do gặp phải khí độc bốc lên làm nhiều người ngạt khí,1,0.9298864603042604,0.0167933404445648,0.053320150822401,41,212,0,0,85.0,13.0,61.0,12,3,16,4,2020
3,thuận_lợi có ca dương_tính cv19 rồi đó mọi người ở đồng_xoài cẩn_thận nhé cố_gắng an_toàn cho_qua mùa dịch này cả nhà ơi bình_phước ơi gắng lên,1,0.0045629958622157,0.9820442199707032,0.0133928069844841,28,151,0,0,114.0,12.0,5.0,10,0,3,8,2020
4,sa_pa cho 9 người khách nước_ngoài đi cùng chuyến bay với nhung,1,0.0381358936429023,0.0901909247040748,0.8716731667518616,13,65,0,0,166.0,4.0,21.0,2,5,7,3,2020
5,mọi người ra đường nhớ đeo khẩu_trang nhã đã có 2 trường_hợp ở phú_yên rồi nè,1,0.0053977291099727,0.9631016850471495,0.0315006338059902,17,80,0,0,1885.0152101056974,123.70842767295598,475.3860955927995,5,6,9,8,2020
6,tin chấn_động nhân_loại được cứu 100 người thử_nghiệm thuốc chữa virus covid thành_công tôi hiện_nay đang ở mỹ và đang ăn tối với các bạn làm bác_sĩ tối nay hàng_loạt kênh_truyền_hình lớn của mỹ fox news abc news vừa công_bố đợt thử_nghiệm chữa_trị cho người bênh virus covid đặt tỷ_lệ 100 người lành bệnh,1,0.0039355298504233,0.972722828388214,0.0233416389673948,62,328,0,0,21.0,5.0,1.0,15,4,20,3,2020
7,tin đức giáo_hoàng phanxicô và hai phụ_tá được xét_nghiệm dương_tính với covidvirus,1,0.1593681424856186,0.0626134127378463,0.7780184149742126,12,86,0,0,166.0,15.0,5.0,9,0,2,3,2020
8,chất chlorine dioxide còn gọi là mms không_chỉ là chất có_thể tiêu_diệt tế_bào ung_thư mà cũng có_thể diệt sạch virus covid ông lớn dược_phẩm muốn bạn không biết chuyện này,1,0.0433080531656742,0.8347567915916443,0.1219351142644882,37,188,0,0,342.0,12.0,26.0,12,1,3,3,2020
9,virus covid là vũ_khí_sinh_học hiện_nay có nhiều bằng_chứng chỉ ra virus covid là nhân_tạo tuy rất nhiều người còn chưa biết rõ về sự_thật này,1,0.9754542708396912,0.0063338447362184,0.0182119756937026,26,149,0,0,23.0,10.0,0.0,1,0,24,2,2020
10,có_thể dùng thuốc trị sốt_rét dự_phòng covid nhé mọi người bác_sĩ khuyến_cáo nên trữ một_ít thuốc này ở nhà khi nào cảm_thấy không khoẻ bất_an là kịp_thời uống mình tự xử_lý luôn chứ chờ vào bệnh_viện tình_hình đỉnh dịch chắc_chắn quá_tải phải tự cứu mình thôi anh_chị_em ạ,1,0.0303858797997236,0.8429402112960815,0.126673936843872,53,281,0,0,374.0,71.0,25.0,22,3,19,3,2020
11,danh_hài thuý nga qua_đời để lại gia_tài triệu đô tại mỹ,1,0.0071705006994307,0.9460440874099731,0.0467853769659996,5,56,0,0,1885.0152101056974,123.70842767295598,475.3860955927995,2,1,30,6,2020
12,quanh khu_vực xuân mai mọi người cẩn_trọng chú_ý nhé một trường_hợp mắc_dịch covid ở thanh_hoá cầu thiều triệu sơ đã đi chúc tết ở các nơi trong đó có xuân mai tốc_độ lây_nhiễm cực_kì nguy_hiểm thì mọi người cũng biết rồi gia_đình được chúc tết chưa được nói rõ ủ_bệnh từ 1 14 ngày tuỳ theo sức đầy kháng của cơ_thể tránh tụ_tập nơi đông người để bảo_vệ sức_khoẻ cho mình cũng như gia_đình và cộng_đồng thông_tin chính_xác của sở y_tế à nội,1,0.965106725692749,0.016469283029437,0.0184240881353616,83,457,0,0,1885.0152101056974,123.70842767295598,475.3860955927995,13,2,20,5,2020
13,có 2 người chết ở nhà_máy giấy lee man rồi nhưng báo chưa cập_nhật thui,1,0.8881857395172119,0.0130293760448694,0.098784826695919,16,74,0,0,181.0,22.0,11.0,13,0,9,3,2020
14,ban muốn mình là người sống_sót trống con_số 90 sau khi đã bị nhiễm vũ hán thì hãy làm đúng sau đây khi bạn biết mình bị lây_nhiễm con vũ hán vì ho nhiều đau ngực khó thở nhức đầu và tiêu_chảy người bị nóng_sốt lâu không cảm_thấy giảm thì hãy làm đúng sau đây 1 uống thuốc tylenol giúp hạ nhiệt và đắp khăn lạnh vào đầu tuyệt_đối không sợ_hãi phải thật bình_tĩnh vì sống_chết có số mạng mình cố_gắng hết_sức mình càng sợ_hãi về tâm_lý thì cơ_hội mình càng ít hy_vọng hơn nhớ thật kỹ là không gì sợ_hãi khi nhiễm_bệnh 2 tự mình cách iy với gia định người_thân tìm một nơi thoáng mát nằm nghỉ_ngơi một nơi có cửa_sổ đưa nhiều không_khí vào 3 mỗi ngày uống nhiều nước cỡ 3 lít 1 ly nước cam và cố_gắng ăn_đủ bữa cổ gắng ăn để cơ_thể đủ sức chống lại virus nhịn_đói rất nguy_hại nếu khó ăn quá ăn không nỗi thì uống 1 ly nước trà ẩm pha đường tạm_thời,1,0.0667489618062973,0.8348796963691711,0.0983713194727897,195,897,0,0,1885.0152101056974,123.70842767295598,475.3860955927995,8,0,24,2,2020
15,tin nóng_hổi tin_vui cho cả nhà nhé lên cả thời_sự hàn_quốc rồi bác nào chưa kịp mua sâm dùng giúp tăng đề_kháng covid thì hãy mua sớm đi à sâm sắp sắp tăng_giá chóng_mặt tv có nói trong tình_hình dịch_bệnh covid hiện_nay tuy nhân_sâm hàn_quốc không_thể chữa khỏi bệnh nhưng lại có khả_năng nâng cao sức đề_kháng phòng_chống bệnh ạ và sâm tốt nhất là sâm vùng kumsan e vân bán cho mọi người lâu_nay đó ạ ăn sâm có_thể đẩy_lùi được 25 về bệnh đường hô_hấp và khoảng 69 về bệnh lây_nhiễm xem thêm,1,0.0039597926661372,0.9849708676338196,0.0110693462193012,103,515,0,0,6.0,123.70842767295598,25.0,4,2,12,2,2020
16,sài_gòn cũng đã có một khu_vực bị cách_ly ở đường nguyễn_hiến lê_phường 13 quận tân_bình mọi người nếu không thực_sự có nhu_cầu nên hạn_chế đi qua tuyến đường đó,1,0.8808119297027588,0.0151487039402127,0.1040393114089965,32,169,0,0,147.0,46.0,26.0,4,5,15,2,2020
17,vatican xác_nhận đức giáo_hoàng phanxicô và hai phụ_tá xét_nghiệm dương_tính công_việc 19,1,0.221428170800209,0.0464277453720569,0.7321440577507019,13,84,0,0,316.0,25.0,34.0,14,6,1,3,2020
18,vụ bắt_cóc con_nít thôn 5 nông sơn sao không thấy ai nói gì hh,1,0.2021872103214264,0.063568614423275,0.7342442274093628,14,58,0,0,1885.0152101056974,123.70842767295598,475.3860955927995,0,3,16,4,2020
19,du_khách trung_quốc đầu_tiên chết vì virus covid ở đà_nẵng đà_nẵng ăn_nằm theo một_số tin từ hiệp_hội du_lịch đà_nẵng cho biết thì hôm_qua nhân_viên một khách_sạn tại mỹ khê đà_nẵng phát_hiện một du_khách nam người tàu đã tử_vong trong phòng nghi là bị dính vi_khuẩn chết người covid theo chị n là lễ_tân khách_sạn cho biết thì vị khách nam này khoảng 50 tuổi ở cùng phòng với 2 người khác cách đây 2 ngày vị khách này có biểu_hiện ho liên_tục và sốt cao có đi xuống,1,0.7081300020217896,0.0428278744220733,0.2490420937538147,92,483,0,0,1885.0152101056974,123.70842767295598,475.3860955927995,3,0,27,1,2020
20,thông_tin mới nhất về covid đà_lạt đà_lạt có 3 ca nhiễm covid trong đó 1 ca đã tử_vong lúc 4h sáng nay 2 ca còn lại đang được cách_ly chính_quyền đang lên danh_sách những người tiếp_xúc với 3 bệnh_nhân đó dự_tính số người tiếp_xúc với bệnh_nhân khoảng 500 người_bệnh nhân tử_vong bên đường đa phú 2 bệnh_nhân còn lại ở chợ đà_lạt,1,0.0738863497972488,0.113840103149414,0.8122735619544983,65,349,0,0,144.0,27.0,8.0,1,2,1,4,2020
21,tình_hình ở bv an phước có 6 người nghi nhiễm virus covid đã bị nhốt cách_ly,1,0.0520730689167976,0.0713609457015991,0.8765659332275391,16,79,0,0,1885.0152101056974,123.70842767295598,475.3860955927995,9,3,23,1,2020
22,mỹ an tháp_mười có 1 ca nhiễm dịch ròi mọi người ơi toang,1,0.932240664958954,0.0152707695960998,0.0524886064231395,12,59,1,0,1885.0152101056974,123.70842767295598,475.3860955927995,7,6,22,3,2020
23,cột sóng 5g phát_tán covid gây chết người tại anh theo tin từ nextdoor nguồn_gốc virus covid là từ_dịch vụ 5g mới được triển_khai ở vũ hán và người anh cũng đang bắt_đầu phá triệt những cột sóng 5g ở đây tránh lây_lan bệnh_tật,1,0.9695125222206116,0.0071431891992688,0.0233443155884742,46,238,0,0,100.0,13.0,2.0,15,1,7,4,2020
24,đồng_nai nhiều người nhiễm virus covid nguy_cơ đồng_nai biến thành ổ dịch covid covid 19,1,0.937644898891449,0.0092596914619207,0.0530953928828239,17,92,0,0,15.0,7.0,0.0,21,3,13,2,2020
25,kỳ án hdh đã tìm ra chứng_cứ ngoại_phạm cho hdh hải đi trả tiền cho bạn ở quoán cafe nhân_chứng là bạn hải và chủ quoán cafe,1,0.4996333420276642,0.0292090624570846,0.4711576402187347,26,125,0,0,253.0,119.0,4.0,8,6,17,5,2020
26,khẩn_cấp hàng_loạt trẻ_em nhập_viện vì ngộ_độc thịt lợn có chứa thuốc an_thần xét_nghiệm ban đâu từ các trẻ nhập_viện cho thấy các bé đều có dấu_hiệu bị ngộ_độc với chất acepromazin đây là chất có trong thuốc an thản thường được tiêm cho heo trước khi mỏ hiện đã có 63 trẻ nhập_viện trong tình_trạng nguy hiếm số_lượng các trẻ nhập_viện cấp_cứu ngày_một tăng cao,1,0.974680483341217,0.0086165126413106,0.0167030338197946,69,371,0,0,1885.0152101056974,123.70842767295598,475.3860955927995,14,2,4,10,2017
27,chủ_động cho covidvirus lây_lan chống xâm_nhập thất_bại chính_phủ các nước anh đức chủ_động cho dịch covid phát_tán để tạo miễn_dịch trong cộng_đồng vì con virus này không nguy_hiểm ảnh chụp màn_hình từ báo,1,0.0679423883557319,0.1095927730202674,0.8224648833274841,39,223,0,0,310.0,29.0,74.0,9,2,11,3,2020
