,user_name,post_message,timestamp_post,num_like_post,num_comment_post,num_share_post,label,id,num_word,num_char,num_hashtag,num_url,preprocess,NEG,POS,NEU
0,2167074723833126912,"Cần các bậc phụ_huynh xã Ngũ_Thái lên_tiếng , không ngờ xã mình cũng nhận thịt nhiễm sán ...Cho các cháu Mầm_non ăn_uống thế_này thật vô_nhân tính !VTV đăng tin rồi nhé các anh_chị .",1584426000.0,45,15,8,1,,34,182,0,0,cần các bậc phụ_huynh xã ngũ thái lên_tiếng không ngờ xã mình cũng nhận thịt nhiễm sán cho các cháu mầm_non ăn_uống thế_này thật vô_nhân tính vtv đăng tin rồi nhé các anh_chị,0.9853274822235107,0.004863983951508999,0.009808492846786976
1,7368497547812410368,KÊU_GỌI ĂN_CHAY CẦU_NGUYỆN XIN CHÚA CỨU KHỎI DỊCH VIRUS CORONA,1581362736.0,979,39,138,1,,10,62,0,0,kêu_gọi ăn_chay cầu_nguyện xin chúa cứu khỏi dịch virus covid,0.6591227650642395,0.21364489197731018,0.12723232805728912
2,-5754142625280308224,"Giàn khoan dầu_khí gặp sự_cố , chết người !Giàn khoan dầu_khí ngoài_trời Vũng_Tàu gặp sự_cố , làm chết nhiều người .Được biết nguyên_nhân gây ra sự_cố này là do gặp phải khí độc bốc lên làm nhiều người ngạt khí .",1587041580.0,85,13,61,1,,41,212,0,0,giàn khoan dầu_khí gặp sự_cố chết người giàn khoan dầu_khí ngoài_trời vũng_tàu gặp sự_cố làm chết nhiều người được biết nguyên_nhân gây ra sự_cố này là do gặp phải khí độc bốc lên làm nhiều người ngạt khí,0.9298864603042603,0.01679334044456482,0.05332015082240105
3,4177935308849652224,"Thuận_Lợi có ca dương_tính CV19 rồi đó , mọi người ở Đồng_Xoài cẩn_thận nhé .Cố_gắng an_toàn cho_qua mùa dịch này cả nhà ơi ...Bình_Phước ơi gắng lên !",1596449280.0,114,12,5,1,,28,151,0,0,thuận_lợi có ca dương_tính cv19 rồi đó mọi người ở đồng_xoài cẩn_thận nhé cố_gắng an_toàn cho_qua mùa dịch này cả nhà ơi bình_phước ơi gắng lên,0.004562995862215757,0.9820442199707031,0.013392806984484196
4,5540309800745996288,Sa_Pa cho 9 người khách nước_ngoài đi cùng chuyến bay với Nhung …,1583548080.0,166,4,21,1,,13,65,0,0,sa_pa cho 9 người khách nước_ngoài đi cùng chuyến bay với nhung,0.038135893642902374,0.09019092470407486,0.8716731667518616
5,7649993800071920640,Mọi người ra đường nhớ đeo khẩu_trang nha .Đã có 2 trường_hợp ở Phú_Yên rồi nè .,1596949200.0,unknown,unknown,unknown,1,,17,80,0,0,mọi người ra đường nhớ đeo khẩu_trang nhã đã có 2 trường_hợp ở phú_yên rồi nè,0.005397729109972715,0.9631016850471497,0.03150063380599022
6,-4236764214323896832,"TIN CHẤN_ĐỘNG , NHÂN_LOẠI ĐƯỢC CỨU 100% người thử_nghiệm thuốc chữa Virus corona thành_công Tôi hiện_nay đang ở Mỹ và đang ăn tối với các bạn làm bác_sĩ , tối nay , hàng_loạt kênh_truyền_hình lớn của Mỹ ( Fox_News , ABC News , .. ) vừa công_bố đợt thử_nghiệm chữa_trị cho người bênh virus corona đặt tỷ_lệ 100% người lành bệnh .",1584717660.0,21,5,1 share,1,,62,328,0,0,tin chấn_động nhân_loại được cứu 100 người thử_nghiệm thuốc chữa virus covid thành_công tôi hiện_nay đang ở mỹ và đang ăn tối với các bạn làm bác_sĩ tối nay hàng_loạt kênh_truyền_hình lớn của mỹ fox news abc news vừa công_bố đợt thử_nghiệm chữa_trị cho người bênh virus covid đặt tỷ_lệ 100 người lành bệnh,0.003935529850423336,0.9727228283882141,0.02334163896739483
7,-3045551117236283904,Tin_Đức_Giáo hoàng Phanxicô và hai phụ_tá được xét_nghiệm dương_tính với coronavirus !,1583140380.0,166,15,5,1,,12,86,0,0,tin đức giáo_hoàng phanxicô và hai phụ_tá được xét_nghiệm dương_tính với covidvirus,0.1593681424856186,0.06261341273784637,0.7780184149742126
8,-931492864188107776,"Chất chlorine dioxide ( còn gọi là ‘ MMS ’ ) không_chỉ là chất có_thể tiêu_diệt tế_bào ung_thư , mà cũng có_thể diệt sạch virus corona .Ông lớn dược_phẩm muốn bạn không biết chuyện này : )",1583237700.0,342,12,26,1,,37,188,0,0,chất chlorine dioxide còn gọi là mms không_chỉ là chất có_thể tiêu_diệt tế_bào ung_thư mà cũng có_thể diệt sạch virus covid ông lớn dược_phẩm muốn bạn không biết chuyện này,0.04330805316567421,0.8347567915916443,0.12193511426448822
9,4293892320686232064,Virus Corona là vũ_khí_sinh_học ?Hiện_nay có nhiều bằng_chứng chỉ ra virus corona là nhân_tạo tuy rất nhiều người còn chưa biết rõ về sự_thật này ...,1582507020.0,23,10,0,1,,26,149,0,0,virus covid là vũ_khí_sinh_học hiện_nay có nhiều bằng_chứng chỉ ra virus covid là nhân_tạo tuy rất nhiều người còn chưa biết rõ về sự_thật này,0.9754542708396912,0.0063338447362184525,0.018211975693702698
